codUsuario,contrasena,primerNombre,segundoNombre ,apellidoPaterno ,apellidoMaterno ,fechaNacimiento,correoUsuario,telefono
1,gP14}|nPF,Svend,Courtnay,Insall,Kiddy,11/02/2000,ckiddy0@goo.gl,998982494
2,jU39~ofj,Whitman,Inessa,Thornham,Feldhuhn,07/17/2002,ifeldhuhn1@cdc.gov,968323672
3,"cN46""H<47*eI.0",Rouvin,Saxon,Wickling,Canario,05/18/2002,scanario2@chron.com,980843359
4,dC65?Vr*@l<<S,Elmo,Nissie,Mathison,Sotworth,08/29/2002,nsotworth3@ed.gov,957488201
5,"lU62}""lbA{A?",Chelsie,Conrade,Greaser,Aggiss,04/18/2003,caggiss4@discovery.com,929236372
6,yY60|w2u\/,Dorolice,Leta,Amort,Apdell,05/05/2003,lapdell5@posterous.com,900400229
7,bU59?P@m%k'sz,Monro,Maud,Pepis,Sabater,12/26/2000,msabater6@multiply.com,954107748
8,cD94%Y%U7+J~%,Artie,Buddie,Buttel,Greest,06/23/2001,bgreest7@craigslist.org,995245581
9,aF11!?DyD=C6Zy,Hyacintha,Joleen,Tomaello,Mort,12/17/2002,jmort8@huffingtonpost.com,980293933
10,nF37/*V5u=}\&,Joachim,Karlotte,Minguet,Ager,07/22/2002,kager9@shareasale.com,949548402
11,gA82*>%D(>_pq,Boycey,Jaime,Kerrigan,Shires,11/01/2001,jshiresa@un.org,902753474
12,sG73=<t?wp37Y,Steffi,Maisie,McIlmorie,Bedward,09/22/2000,mbedwardb@goo.ne.jp,964472673
13,vI88'Nd7@GK,Molly,Godard,Stealey,Phillis,09/22/2000,gphillisc@bloomberg.com,996359492
14,aZ42_VZ(,Paulina,Farrand,Dayton,Branni,08/11/2002,fbrannid@nymag.com,948650290
15,rT68`z=cp,Laure,Alina,Duerden,Stigell,02/26/2003,astigelle@bloglovin.com,940140091
16,"cR09""_`",Gilburt,Storm,Quarrell,Kennington,02/20/2002,skenningtonf@imageshack.us,940552987
17,aO67!T0z1hU,Cristabel,Norri,Fuente,Sunman,06/13/2001,nsunmang@google.fr,980279844
18,wF03|?c/@,Annelise,Lorinda,Schutt,Margett,06/08/2001,lmargetth@hatena.ne.jp,971012211
19,yA90?t@i,Richard,Carissa,Harg,Ciraldo,07/18/2002,cciraldoi@godaddy.com,963527170
20,gI83_Jy\I<4,Kirstin,Alfred,Beverley,Drabble,07/12/2000,adrabblej@dell.com,930766764
21,eA56<*5*,Meghann,Harmony,Babber,Freund,01/17/2002,hfreundk@alexa.com,957696264
22,"oR02$(!B,WdRN",Willi,Fionnula,MacInerney,Kilty,03/04/2001,fkiltyl@reuters.com,998574561
23,gQ64*F/y%0?),Ashil,Elysee,Vequaud,Pursehouse,06/14/2002,epursehousem@taobao.com,900422453
24,gT69/X=,Benny,Othilie,Gowing,Bentje,12/13/2002,obentjen@huffingtonpost.com,909342426
25,dW03*{dmo,Carly,Trace,Mabon,Bukowski,08/23/2000,tbukowskio@cbslocal.com,962203984
26,wV32\DqtP&SB,Elsi,Brigit,Durning,McWilliam,11/25/2001,bmcwilliamp@mlb.com,982731406
27,hA22#=#rW%5V(?,Elisa,Evie,Kilcoyne,Bretelle,08/03/2001,ebretelleq@apache.org,964272813
28,tE36>=d,Shaylyn,Parke,Brigman,Nottingam,02/19/2002,pnottingamr@craigslist.org,921261503
29,wO59%1%Pe,Krystyna,Cherlyn,O'Heagertie,Phlippsen,12/30/2001,cphlippsens@tinypic.com,989827212
30,"sO17"",gwVdL",Agathe,Vlad,Skates,Donn,12/25/2001,vdonnt@bbc.co.uk,923849141
31,"zO92++""|W",Leone,Sadie,Curran,Deniske,01/29/2003,sdeniskeu@accuweather.com,931110157
32,pR83{'19F1q,Jacquenette,Goldia,Vinck,Sheridan,02/17/2003,gsheridanv@skyrock.com,931454573
33,fF03?2pj,Virgina,Ariana,Archley,Mutter,09/18/2000,amutterw@etsy.com,969750395
34,wE19<u&CVyS_,Maurine,Rubie,Beazey,Lapree,01/08/2002,rlapreex@google.es,925966795
35,lD52&t5q$,Rebekkah,Yank,Tirone,Guiot,09/12/2000,yguioty@hao123.com,918130406
36,jF96%73AEj}A,Devan,Tommy,Robeiro,Raiker,07/17/2002,traikerz@blogs.com,947602242
37,"oS47'M9ST""{BZQ",Vito,Carolyn,Josh,Collete,05/17/2001,ccollete10@google.cn,978826866
38,iF11&?v,Rosalyn,Verene,Berthe,Berntssen,11/14/2002,vberntssen11@yelp.com,907269463
39,bM36|sci,Raffarty,Arabela,Lardier,Brailsford,05/23/2001,abrailsford12@list-manage.com,910032462
40,bK27+PyVl,Jo,Shanon,Hancorn,Elkington,04/12/2003,selkington13@hatena.ne.jp,975865465
41,dB58{G}m,Horatia,Maritsa,Folkerd,Hannabus,01/10/2001,mhannabus14@opera.com,903816458
42,nF10+'H/I8<R(O,Ellene,Mohandas,Tapson,Betteriss,08/01/2002,mbetteriss15@github.com,946459879
43,xA35&(~2|,Ber,Kenyon,Jensen,Betjeman,11/03/2002,kbetjeman16@indiegogo.com,986551201
44,aU50}4|(_G,Blisse,Aldin,Sieghard,Webborn,04/20/2003,awebborn17@state.gov,963656246
45,qH61&Jp*wUP>TA,Alayne,Rhea,O'Fihillie,Hoble,03/17/2003,rhoble18@sogou.com,917680780
46,iG08!voa9j!,Karleen,Sioux,Whitlam,Frie,07/30/2002,sfrie19@hud.gov,917582117
47,wD19@+<PKA,Frans,Karol,Schriren,Kiehnlt,11/02/2002,kkiehnlt1a@flickr.com,994830576
48,"uQ25""T%M&l",Flori,Carrol,Rubberts,Basset,04/27/2003,cbasset1b@uol.com.br,940306467
49,zY21?{.5)`,Maybelle,Esme,Firbank,Bog,12/30/2000,ebog1c@icq.com,961320120
50,iB09&~ycIr#Yi,Ole,Lethia,Battey,Cicconetti,01/14/2001,lcicconetti1d@sohu.com,904253292
51,cM87#1),Harmony,Lynea,Pottberry,Barford,07/07/2002,lbarford1e@tuttocitta.it,916796074
52,zL16+GQ!,Gray,Jeramie,Nealy,Hiddersley,10/22/2000,jhiddersley1f@narod.ru,977799641
53,rN98_l0m\,Tiebout,Patrice,Denk,Tarpey,01/09/2003,ptarpey1g@t.co,917742653
54,bF69/cz9,Bartel,Car,Kissock,Crosdill,12/04/2000,ccrosdill1h@china.com.cn,936247942
55,"hJ29#(aE>9m,Gl",Nicky,Alexine,Craythorn,Peatheyjohns,08/12/2001,apeatheyjohns1i@qq.com,919894597
56,sV55=MDJ,Brandais,Misha,Christall,Chadd,09/28/2000,mchadd1j@vk.com,935184111
57,dC74\iI3,Naoma,Nat,Farleigh,Jacquemy,05/07/2001,njacquemy1k@phpbb.com,927781985
58,nX71{Q|y/|!,Dalila,Fiona,Colthard,Stiling,05/09/2003,fstiling1l@jiathis.com,902980698
59,gP01$~!WQq,Lorrie,Vincents,Clashe,Giorgielli,03/01/2001,vgiorgielli1m@nsw.gov.au,927447154
60,"yE63""1ubdBEx",Rex,Jerrylee,Harriagn,Torrie,03/26/2002,jtorrie1n@w3.org,938326378
61,pP08>gf,Erinna,Orella,Matthews,Scally,09/29/2001,oscally1o@twitpic.com,950209748
62,kA28~d1c2~M,Marlie,Drucie,Roskelley,Meach,07/14/2000,dmeach1p@omniture.com,964937231
63,zT07}0f,Jacinthe,Allin,Bilbrook,Rochford,06/01/2001,arochford1q@mashable.com,929003988
64,aK83%Bg'hJo,Jacqui,Theodosia,O'Spillane,Roswarn,10/22/2001,troswarn1r@mozilla.org,971891692
65,xF37.J++,Trixi,Annecorinne,Davidesco,Dowty,11/02/2002,adowty1s@si.edu,992589827
66,mQ98@~)PlwW~U~,Cesar,Clementina,Wellbelove,Largan,11/14/2001,clargan1t@vimeo.com,903545626
67,nF83*@pKk),Pincas,Bastien,Whittlesey,Madrell,11/22/2000,bmadrell1u@comcast.net,957398897
68,aM05)f.b,Salome,Kain,Arniz,Yashunin,06/24/2003,kyashunin1v@time.com,925717748
69,iC97#_PM2~,Ediva,Danni,Taffrey,Glowinski,09/16/2000,dglowinski1w@netvibes.com,999834011
70,gF48._r)rEPHQB,Saleem,Maggee,Beaford,Coytes,06/22/2001,mcoytes1x@mapy.cz,948027626
71,mG20(QV5,Llywellyn,Mellisent,Pickersail,Polgreen,10/11/2001,mpolgreen1y@joomla.org,981502229
72,"eC12`""J~d",Barnard,Jena,Pincott,MacCarrane,08/27/2001,jmaccarrane1z@hhs.gov,928799623
73,bZ30&xP,Ethan,Christoph,Divell,Padgham,05/10/2003,cpadgham20@privacy.gov.au,929485495
74,zC27&d@Z,Gregg,Rene,Hellyar,Whitten,03/20/2001,rwhitten21@bloglovin.com,965882902
75,rA06|mkN3mu>{,Jody,Marlo,Duckett,Cartmale,12/22/2002,mcartmale22@devhub.com,978311510
76,oW68`\F,Jeffrey,Chrissy,Gilyott,Rockhill,07/23/2002,crockhill23@msn.com,943452482
77,sV74|/Y,Isador,Nestor,Goutcher,Manklow,04/18/2001,nmanklow24@hibu.com,931498870
78,vU24`wVM,Marquita,Terrell,Cashman,Cantua,10/26/2000,tcantua25@cocolog-nifty.com,975850689
79,yW72!(>yS,Frants,Mordy,Penhalurick,Brain,11/20/2001,mbrain26@liveinternet.ru,914449459
80,vL50%1GE~GDGd,Glen,Ainsley,Challenor,Spancock,02/23/2002,aspancock27@cpanel.net,981107162
81,pX05_D/XI,Wilmette,Harland,Cumming,Duffil,05/04/2001,hduffil28@skype.com,933137612
82,dC41>IsJ,Terrance,Keeley,Kliemchen,Peschke,10/30/2002,kpeschke29@flavors.me,935916280
83,aJ23(.%,Jarrad,Othello,Wanek,Crisford,05/15/2003,ocrisford2a@sbwire.com,958447088
84,tH32{%yvvEDF,Rolland,Ade,Imeson,Guthrum,02/27/2001,aguthrum2b@mlb.com,930518809
85,eS65(`c|3I7lx,Randee,Gratia,De La Coste,Allabarton,08/29/2000,gallabarton2c@photobucket.com,902072479
86,dO02*h~.+n,Fern,Peta,Huskinson,Tebald,01/21/2002,ptebald2d@printfriendly.com,908505250
87,hL40\v%n8P|h,Jillian,Saree,Rames,Tramel,12/19/2000,stramel2e@bizjournals.com,919772949
88,uG72#z3,Shana,Beverie,Bloschke,Smiley,01/05/2003,bsmiley2f@plala.or.jp,968163327
89,"kL85+Q=v""@p",Ransom,Zita,Townsley,Relph,11/10/2002,zrelph2g@hhs.gov,914210099
90,zX64$YB\ll,Homere,Charisse,Diment,Wilmore,11/06/2002,cwilmore2h@arstechnica.com,935494123
91,"gM28@,YM",Broderick,Cass,Crookshank,Quartley,12/07/2002,cquartley2i@economist.com,901740563
92,vV86%y&Ad,Weber,Helene,Hassekl,Finlow,09/16/2002,hfinlow2j@nps.gov,935688212
93,uS51!a.1k<YIp5,Lammond,Boonie,Creegan,Turk,02/26/2002,bturk2k@webeden.co.uk,971081245
94,"kY34""|\(>HP%",Millard,Leroy,Pym,Wheelband,05/04/2001,lwheelband2l@fda.gov,918147194
95,"yE32""JcSY",Vickie,Putnam,Imore,Masseo,01/28/2001,pmasseo2m@arizona.edu,975762339
96,"tS72&5cI%j6,",Aarika,Naomi,Pryce,Scholard,09/29/2001,nscholard2n@loc.gov,943919924
97,aM33'|&,Josi,Jonell,Becom,Tonepohl,06/15/2003,jtonepohl2o@about.me,922341459
98,zB06&<B7{F,Annetta,Kellia,Domange,Priestley,09/17/2002,kpriestley2p@cnbc.com,956104684
99,yW08>qQFoJ==R<,Ferdinanda,Ezechiel,Cowern,Scanlon,07/15/2002,escanlon2q@youku.com,906523439
100,cT45%2B~2`,Antonio,Pepe,Joynt,O'Lehane,03/31/2003,polehane2r@whitehouse.gov,959337670
101,jE91/y0C,Gusti,Cosme,Kerley,Murdy,05/08/2002,cmurdy2s@apple.com,921978427
102,pZ26?2{H,Felipa,Giavani,Bordman,LeEstut,02/09/2001,gleestut2t@hud.gov,946713777
103,nV26<3$c)#D,Kendrick,Rori,Hickeringill,Gribben,08/06/2000,rgribben2u@vkontakte.ru,981175066
104,zL97=\(*M3Ix,Katinka,Fara,Arendt,MacGillavery,01/22/2002,fmacgillavery2v@parallels.com,956640581
105,fY86`U7\J3S,Ken,Harman,Wordsley,Castagnasso,05/17/2003,hcastagnasso2w@twitter.com,941702253
106,oQ05${phI0(Bcv,Zak,Viv,Barde,Stukings,11/02/2001,vstukings2x@biglobe.ne.jp,914315062
107,aZ36+`uy?mi~,Katharyn,Torin,Winstanley,Goodsell,01/10/2003,tgoodsell2y@livejournal.com,999031859
108,gC94!pS+zpC*\f,Teriann,Brietta,Chippin,De Giorgio,05/29/2001,bdegiorgio2z@google.co.uk,990568991
109,wD77?SxDE+>a,Sancho,Cora,Weyman,Millis,02/08/2001,cmillis30@facebook.com,936530390
110,xS76~HMJOsL,Granthem,Paloma,Bourley,Pannaman,07/09/2000,ppannaman31@cam.ac.uk,909663275
111,hK58`F&,Aeriell,Ardeen,Perin,Austin,08/21/2000,aaustin32@foxnews.com,960039642
112,fL52/'l)Nk,Denny,Carlynne,Mackelworth,Chazier,02/15/2001,cchazier33@issuu.com,916854493
113,qY42}l$G1<+,Davis,Mia,Delagua,Beere,09/22/2000,mbeere34@godaddy.com,987527555
114,dE40>7SA}x8c%,Bing,Jimmy,Haugg,Stebles,12/12/2001,jstebles35@histats.com,907121854
115,pE78!y8tV%#w,Meara,Claribel,Gianettini,Rugge,04/26/2003,crugge36@nyu.edu,983043933
116,fC84%/>Xt{V,Gayleen,D'arcy,Micklewright,Wickardt,05/28/2001,dwickardt37@woothemes.com,962798265
117,dM17!fFrHJX,Lorna,Elvyn,Ashurst,Dimmock,04/28/2003,edimmock38@google.co.jp,961683518
118,lK73?i&,Malinda,Siward,Mival,Tegler,08/20/2000,stegler39@quantcast.com,903097472
119,rG13<<(IvP,Delphine,Huntington,Asee,Vanyard,02/26/2002,hvanyard3a@dell.com,936850444
120,tN37#Em9~(J,Gavin,Vivie,McKeever,Alflat,07/18/2001,valflat3b@wired.com,915717394
121,qQ93*hfq),Lombard,Mallory,Feldberger,Paoletto,07/28/2002,mpaoletto3c@bluehost.com,937237092
122,iT13(/96H,Brena,Hadria,Jostan,Whyatt,06/19/2002,hwhyatt3d@constantcontact.com,972153759
123,eX71~=|2?Kl3,Etti,Vally,Echalier,Jealous,09/20/2000,vjealous3e@elegantthemes.com,984298411
124,uI66&rZA@r,Bondie,Goldi,Haslum,Hinken,05/09/2002,ghinken3f@webmd.com,913117181
125,"rU08*e""F!{!",Dinnie,Hillel,Reah,Avrahm,04/02/2002,havrahm3g@msu.edu,913157056
126,mQ64&.3R=|12,Melania,Adham,Gumey,Gosnell,07/10/2001,agosnell3h@bloomberg.com,989007358
127,bO81|#*,Ilsa,Corabella,Gallihaulk,Chapiro,08/20/2002,cchapiro3i@cnn.com,979003687
128,fN78+e%,Brewster,Ilario,Hinchon,Antonijevic,09/27/2000,iantonijevic3j@youtu.be,929046748
129,fX13{RQnF>Z.,Daron,Arnaldo,Muzzollo,Benford,03/20/2003,abenford3k@nifty.com,942031037
130,aS35.yAbCMa2,Jemie,Aubrette,Lagadu,Brettell,06/01/2002,abrettell3l@hibu.com,937399695
131,"oL30,{}%Obci",Gustavus,Delmor,Edess,Bonde,08/25/2000,dbonde3m@examiner.com,933009772
132,nI62|Pg\,Willette,Audy,Borles,Barefoot,10/25/2000,abarefoot3n@huffingtonpost.com,958691048
133,oC22>bWcE,Daloris,Suzi,Behne,Alsina,01/13/2001,salsina3o@samsung.com,981633519
134,sW64\mIQ~,Matthiew,Smith,Frampton,Jarrell,03/02/2003,sjarrell3p@indiegogo.com,993647309
135,pS46|N8JuiUA@,Erma,Cherish,Tattersall,Skellion,09/14/2001,cskellion3q@nhs.uk,918251202
136,kX78|zqa!rP,Abbie,Rosalinda,Haysham,Swindells,05/01/2002,rswindells3r@ucoz.ru,917433831
137,pN46??ss&,Lazarus,Fionnula,Schankelborg,Naisey,06/28/2001,fnaisey3s@simplemachines.org,924680365
138,jU15/$4L,Gabriele,Tobey,McRannell,Elstob,05/14/2003,telstob3t@microsoft.com,932724782
139,vP78!@+,Tris,Jamie,Woodson,Tebbe,11/21/2001,jtebbe3u@youku.com,955294168
140,"rI06,&D#%H5",Ardelia,Rudy,Maruszewski,Donlon,01/27/2001,rdonlon3v@behance.net,959609154
141,"eN67.cmdLy_)8""",Orion,Georas,Ramelot,Cuxon,01/10/2001,gcuxon3w@alibaba.com,926579115
142,"dZ29@f""8#rA3R",Giorgio,Joelie,Wilsher,Wainman,04/05/2003,jwainman3x@live.com,978981562
143,zW89`((Oy/N,Daphne,Barby,Gomme,Beall,10/20/2000,bbeall3y@opensource.org,960863212
144,jV14#2vf@S#u,Kamillah,Florella,Blacksland,Gadeaux,06/26/2002,fgadeaux3z@eventbrite.com,916196980
145,pK89.xE',Jewel,Wayland,Perroni,Chamberlaine,03/18/2003,wchamberlaine40@weebly.com,984594501
146,uS69(UuvSii!qd,Dun,Gray,Hynes,Sirette,02/04/2001,gsirette41@va.gov,999621003
147,xG24}4kg73%R%M,Bernardine,Pauly,Corbet,Branni,05/16/2001,pbranni42@redcross.org,999984033
148,hD14|*_oN+k,Bernita,Kara,Sleaford,Blench,09/01/2001,kblench43@google.ca,957504883
149,"rV19,6`u'~B",Marion,Ofella,Arson,McEachern,07/01/2002,omceachern44@mail.ru,982072273
150,"xD13,u,9o",Araldo,Yehudi,Bailess,Slad,04/03/2001,yslad45@alexa.com,949921467
151,fO66%_?NCeZ,Roshelle,Marci,Onge,Dmitrienko,09/01/2001,mdmitrienko46@google.co.jp,967677988
152,mB21`3t6<s?c,Edi,Arielle,Roselli,Sharratt,11/10/2000,asharratt47@time.com,996194924
153,gG71*EjN(9Sj/~,Oralla,Galven,Navarre,Mattiato,07/01/2002,gmattiato48@npr.org,953856757
154,wP68/{TW)TArh,Jo ann,Riva,Spain,Gagin,04/03/2002,rgagin49@ucla.edu,944425685
