codUsuario,contrasena,primerNombre,segundoNombre ,apellidoPaterno ,apellidoMaterno ,fechaNacimiento,correoUsuario,telefono
1,fV85?\H24Q!Qq0,Gweneth,Griffie,Soar,Barkworth,09/01/2002,gbarkworth0@umich.edu,937186454
2,iO14#c\T',Claire,Paddy,Jimpson,Swatton,12/26/2000,pswatton1@pinterest.com,924127785
3,jM67$xR%l>,Bartholomeus,Dollie,Dragonette,Andreaccio,11/17/2000,dandreaccio2@diigo.com,921619975
4,vR04#\$0C,Phyllis,Lonnie,Riach,Coulter,06/18/2003,lcoulter3@php.net,930935873
5,qG10&V=.n|{s,Albertine,Rockie,Canario,Vardey,12/23/2000,rvardey4@mit.edu,963010356
6,"xP75<,`LAT""G",Wallie,Josephine,Prate,Bartolomieu,03/17/2002,jbartolomieu5@seattletimes.com,956559529
7,qT14%I#w,Dorothea,Lilyan,Arkley,True,11/21/2000,ltrue6@mysql.com,987917481
8,"nF24,@0d",Joellyn,Merwyn,Blenkharn,Hilhouse,04/03/2002,mhilhouse7@google.com,940234020
9,kD86}1c}I,Alonso,Les,Lingard,Maddicks,10/29/2002,lmaddicks8@go.com,980244557
10,oQ74)dsP},Tanitansy,Hugues,Prangnell,Millmoe,05/13/2002,hmillmoe9@webs.com,961030933
11,tX04`s{,Riley,Grant,Blois,Rowson,05/30/2003,growsona@answers.com,948828048
12,rV31$ljz0,Michail,Efrem,Baldassi,Verissimo,10/20/2000,everissimob@imdb.com,968199979
13,"tY79(L6g@,5",Hamilton,Josephina,Kempson,Depke,12/08/2001,jdepkec@home.pl,921948339
14,iO52.Ah{N,Barn,Pansie,Cosyns,Reynault,05/06/2001,preynaultd@msn.com,973570845
15,mD54|j'_9hY,Corbet,Richy,Hullin,Berford,06/15/2002,rberforde@pagesperso-orange.fr,990230553
16,xY52`/#U/ruO,Felice,Thorpe,Richemont,Chauvey,12/10/2000,tchauveyf@cdbaby.com,901649641
17,cU29&/Nd_rJ{d,Garwin,Rubie,Twist,Kennedy,03/09/2003,rkennedyg@usgs.gov,944519822
18,bJ06'{>K,Pamela,Karen,Killerby,Kellog,08/22/2000,kkellogh@acquirethisname.com,994910743
19,tF03&<NA(PT#,Grannie,Carline,Giraudot,Knapper,06/15/2003,cknapperi@printfriendly.com,987750323
20,xD13.ehP,Sibylle,Layney,Wale,Rubenovic,10/16/2002,lrubenovicj@elegantthemes.com,903082910
21,mM81)uCn,Kissie,Janeczka,Clausen,Chastanet,05/14/2003,jchastanetk@hc360.com,981086772
22,mG58!b6,Stefa,Andra,McGunley,Spaduzza,09/11/2000,aspaduzzal@earthlink.net,968260525
23,tI75@0z,Sherwynd,Deanne,Marjoram,Spurden,11/30/2001,dspurdenm@hubpages.com,920252524
24,cP14*F?)MfQS,Shaine,Chrystal,Rivel,Vashchenko,02/21/2003,cvashchenkon@xrea.com,997699771
25,kX27.dUv6J`V,Angelika,Cleveland,Mazonowicz,Lampitt,11/16/2002,clampitto@dedecms.com,943084665
26,pF87@S$)#i4OM',Isaak,Aubine,Gary,Malsher,04/02/2001,amalsherp@w3.org,927656577
27,"rD36*|o,aruY/i",Jimmy,Elene,Sleite,Gripton,12/09/2001,egriptonq@nifty.com,911415041
28,"lE23*/""6$Ph/~",Rafaellle,Farlie,Langmaid,Guye,07/10/2000,fguyer@t.co,970097675
29,"sU79=z!,#",Artair,Zed,Jimes,Cottel,03/21/2003,zcottels@imageshack.us,923330331
30,iY66#kJGB+ZM`i,Linette,Gena,Tenniswood,Pennell,01/16/2001,gpennellt@aboutads.info,992899436
31,gQ50<kxPjQ&,Stu,Ray,Eagan,Norledge,07/12/2002,rnorledgeu@seesaa.net,981415133
32,"xD94""/LA%""",Meade,Edyth,Schwandermann,Fulle,09/29/2002,efullev@wikia.com,969532686
33,rJ61&8c5_,Arlen,Arlee,Greaves,Fores,03/18/2003,aforesw@wsj.com,975783348
34,lU34+F~b,Jules,Anton,Hansana,Greaves,01/29/2001,agreavesx@yahoo.co.jp,945720527
35,mR53\+|xdd5G,Emera,Skippie,Kimbrough,Glenny,02/20/2001,sglennyy@go.com,969350332
36,sS47?CG5q,Anastasia,Mickie,Oboy,Beckles,05/06/2003,mbecklesz@reuters.com,903776138
37,eM63&~VG1,Loydie,Hort,Farmery,Hitchens,08/22/2002,hhitchens10@bravesites.com,945656390
38,rD65`~NM_p,Aline,Ellen,Ellicock,Oubridge,04/13/2003,eoubridge11@cocolog-nifty.com,924782372
39,pD37(KBA,Brandais,Neal,Bartoszewicz,Ridley,01/14/2001,nridley12@tinyurl.com,925155596
40,yL13)HPm#,Kent,Wolfy,Kingh,Volett,10/14/2000,wvolett13@taobao.com,923768875
41,"zV53(M""",Elli,Doloritas,Corton,Staves,05/27/2002,dstaves14@macromedia.com,955926549
42,mH56_l6Pz$Fd,Deana,Ronald,Brothers,Pirelli,12/07/2002,rpirelli15@de.vu,983083022
43,hU43!/(`,Vale,Glenn,Docksey,Cool,06/20/2002,gcool16@bigcartel.com,925513781
44,zG33%xD),Homerus,Shalom,Clemmett,Bendixen,09/10/2001,sbendixen17@netlog.com,965073872
45,vI78_B+,Michele,Nicolis,Giacobo,Gopsill,06/01/2001,ngopsill18@auda.org.au,928493021
46,aI18}d=R&B4,Amanda,Linnie,Ottiwill,Gabbatiss,06/09/2003,lgabbatiss19@google.fr,901774746
47,qG27&Ve4H6,Elli,Patrice,Thurber,Cobbald,09/02/2001,pcobbald1a@google.co.jp,982049524
48,bI96}K>.vua?k,Maryjo,Oberon,Oglesbee,Labram,02/25/2001,olabram1b@lulu.com,921438432
49,vM05@tmXY,Garland,Laurianne,Bendik,Verty,08/23/2000,lverty1c@dell.com,989001907
50,nZ97=0F./t,Cristian,Auria,Blockley,Ellicombe,08/11/2001,aellicombe1d@cnet.com,923197166
51,bZ10+84oYt7I{,Guillaume,Kimmie,Dunlap,Ballister,07/12/2001,kballister1e@ustream.tv,996749072
52,zS64!.=ymiG,Karalynn,Pip,Yourell,Brikner,08/17/2002,pbrikner1f@chron.com,912765370
53,yH04{YGu%bAR,Maximilianus,Alain,Bray,Rudall,04/12/2002,arudall1g@ftc.gov,989106163
54,xL06_p?t/p,Darci,Debra,Darnell,Biaggi,06/30/2003,dbiaggi1h@guardian.co.uk,984631191
55,sB18\#HN,Arlyne,Lindi,Snel,Rowbotham,05/25/2001,lrowbotham1i@flickr.com,953337828
56,tL77>Snz6,Andrej,Merrielle,Karpinski,Portam,11/05/2000,mportam1j@seesaa.net,924193932
57,fX73{9NvT1,Paulina,Eldin,Palmer,Glew,02/15/2003,eglew1k@washington.edu,905038216
58,tO75}#kbgZVG,Leena,Esmeralda,Beuscher,Yitzhak,09/25/2002,eyitzhak1l@meetup.com,909950899
59,iQ07>zC4P_f,Brandon,Zacharia,Pina,Ardling,04/08/2003,zardling1m@senate.gov,977849547
60,"vU02)2{I'""",Carmelina,Dunstan,Latch,Terry,03/21/2003,dterry1n@drupal.org,985241736
61,eQ39'PbHXN,Brittany,Arman,McGillicuddy,Laying,01/11/2001,alaying1o@answers.com,924338327
62,bC37%v\)C{us,Tamqrah,Mindy,Cordelet,Teulier,12/18/2000,mteulier1p@1und1.de,989688701
63,fB11>}=w_<'Lb,Juan,Alysa,Pearcey,Coulson,02/07/2003,acoulson1q@icq.com,916851652
64,zQ28@E8L+Y,Christoph,Jaymee,Ware,McNickle,10/28/2002,jmcnickle1r@tumblr.com,953589992
65,"uF00&t08X,""`",Idaline,Homere,Lynthal,Kubec,08/10/2000,hkubec1s@marriott.com,965969754
66,qR47|IDyQEd,Allister,Rance,Shirley,Waything,12/22/2002,rwaything1t@hp.com,943591268
67,"wU45&,`JRew",Jolyn,Juieta,Salkeld,Memmory,05/15/2001,jmemmory1u@bbb.org,994904922
68,jM55.X$g6FNZ,Eimile,Daffy,Hastwall,Poskitt,10/16/2001,dposkitt1v@gov.uk,959510219
69,wN23@B8C,Andee,Jaine,Shelford,Gulk,11/26/2000,jgulk1w@state.tx.us,937269656
70,qK79*vy,Mehetabel,Cart,O'Gormley,Cosgreave,09/27/2000,ccosgreave1x@dmoz.org,962206603
71,sU89\cc`9Z,Ali,Amber,Beausang,Mussared,02/12/2003,amussared1y@msn.com,926698783
72,tF82*cd`,Morty,Steffi,Purcell,St. Paul,08/06/2001,sstpaul1z@hao123.com,924257960
73,"dL58,2@""",Renae,Editha,Miners,Gulliman,08/09/2001,egulliman20@engadget.com,933010140
74,zB38@JyWnibW,Donall,Cherilynn,Minors,Alessandrini,02/08/2003,calessandrini21@businesswire.com,991113383
