codUsuario,contrasena,primerNombre,segundoNombre ,apellidoPaterno ,apellidoMaterno ,fechaNacimiento,correoUsuario,telefono
1,fM78*hrb+,Reba,Maryellen,Harkins,Albutt,01/29/2001,malbutt0@theglobeandmail.com,928396605
2,aU91'E*71yxp>t,Stesha,Garret,Spoole,Hofner,09/20/2001,ghofner1@rediff.com,904318341
3,fV97#qSB)pQM{,Erminie,Moishe,Stuchburie,Shakesbye,06/14/2003,mshakesbye2@pbs.org,960672446
4,pP63*jh73,Johnnie,Domingo,Mattacks,Alesin,03/27/2001,dalesin3@latimes.com,924155792
5,sN59<kwl+$W=A/,Ignatius,Ryann,Semken,Raynard,12/20/2000,rraynard4@wordpress.org,955905061
6,oC50<(.*{,Brian,Reg,Bengtson,Howroyd,08/10/2002,rhowroyd5@rambler.ru,982753682
7,"jB49,/KP",Keeley,Quint,Sworder,Reaney,01/12/2002,qreaney6@patch.com,933416415
8,jR58|V'50_th,Bartholomeo,Lambert,Yurkevich,Duchesne,08/16/2001,lduchesne7@rambler.ru,962701972
9,aQ28!Eu@N)E,Jarid,Greer,Nulty,Illing,06/28/2001,gilling8@hatena.ne.jp,995013228
10,"cK97""u#5",Georgetta,Noellyn,Fulton,Earle,12/06/2001,nearle9@soundcloud.com,928485397
11,hW71&%`@/*}d?,Cherish,Shelby,Rudwell,Rootes,12/29/2001,srootesa@furl.net,907394897
12,eL93`ExLLeE,Brandy,Filip,McAlindon,Duffie,04/15/2003,fduffieb@trellian.com,921172724
13,"mV13~+DNqI,mF|",Blair,Colman,Dopson,Davidge,03/30/2003,cdavidgec@1688.com,971802075
14,hH49+nS&|5,Iosep,Berri,Godbald,Dunbobin,01/30/2003,bdunbobind@ucoz.com,901419240
15,hU60{wDqi,Peria,Stanford,Bonafant,Owen,11/08/2000,sowene@imageshack.us,974977098
16,qO01!0n.NlFI,Feodora,Erna,Reace,Casiroli,05/11/2001,ecasirolif@yahoo.co.jp,997627202
17,"lG32,vRMa",Tim,Jessi,Lightollers,Craster,07/23/2001,jcrasterg@who.int,952331807
18,eO75&xZsK.b,Zsa zsa,Orelie,Wolsey,Jochens,06/23/2001,ojochensh@statcounter.com,999449199
19,kG27&dexnZU/m,Darlene,Daisi,Nursey,Rizzone,04/23/2002,drizzonei@sciencedaily.com,932196617
20,tV68{neQu',Olenolin,Anastassia,Ganny,Anwyl,03/20/2001,aanwylj@youku.com,995037215
21,yD89$gr#8lUo!,Margaret,Rubina,Mawby,Moth,08/27/2001,rmothk@storify.com,964320124
22,tP74@!Vf,Emile,Giordano,Reis,Creasey,11/08/2001,gcreaseyl@chron.com,916654170
23,eM01$@uU4y'!h,Katuscha,Noell,Setchell,Lidington,02/01/2003,nlidingtonm@amazon.com,970211970
24,hS75}rX~K'&<V&,Haze,Pauly,Tresise,Kerbey,08/21/2001,pkerbeyn@goo.gl,938015113
25,nA00~F<,Phelia,Daffi,MacAirt,Rallin,05/07/2002,drallino@alibaba.com,924896678
26,uO20{2e8n/v>,Noel,Erminie,Shere,Fuge,09/04/2002,efugep@clickbank.net,923681697
27,gN39&9A,Morgan,Amelia,Gauntlett,Meni,08/14/2001,ameniq@last.fm,959800922
28,sC94>/j,Romona,Lin,Trenoweth,Whacket,08/16/2000,lwhacketr@gmpg.org,909594040
29,pB82#Ub~x,Arley,Egon,Colleton,Sauniere,03/21/2001,esaunieres@amazonaws.com,955415067
30,kS62%`_V3?CQW,Bo,Verla,Palluschek,Sprackling,10/15/2000,vspracklingt@chron.com,948535255
31,sI84+M%,Lawrence,Derrik,Benka,Pauwel,04/19/2003,dpauwelu@utexas.edu,918831826
32,"sL29\T""Fd\S""Y4",Jermaine,Jennee,Room,Bickerstasse,10/29/2002,jbickerstassev@histats.com,904373110
33,"dK84+mF""U",Hilde,Neils,Tomczykiewicz,Morbey,03/12/2001,nmorbeyw@icq.com,964214153
34,"dL20""t~wY6a",Dorolisa,Laurella,Basler,Learoyde,03/15/2002,llearoydex@nbcnews.com,917651266
35,xV48*JJHftbOW,Drona,Bettina,Mattocks,Kibbe,12/13/2001,bkibbey@squarespace.com,954596446
36,qQ90/8TB+XwI,Curtice,Astrix,Caddick,Manssuer,05/08/2001,amanssuerz@pcworld.com,965954348
37,lT71|sZo\s&+>,Park,Alberik,Kinsley,Rottger,02/25/2001,arottger10@dion.ne.jp,954847813
38,fX19{S2Gc,Estrella,Ruddy,Scroxton,Georgeson,03/16/2002,rgeorgeson11@apache.org,966533938
39,oK20<b!+M4jg.B,Tiffanie,Aguste,Scullion,Gurrado,06/22/2003,agurrado12@trellian.com,936145751
40,sR69{&H,Fey,Alyce,Lanbertoni,Greeve,11/06/2002,agreeve13@shinystat.com,942040348
41,"fH06~#hT2,",Nadeen,Morten,Korf,Oertzen,01/25/2001,moertzen14@tmall.com,927041327
42,rX39?4A,Guy,Joannes,Bourne,Girling,06/09/2001,jgirling15@dropbox.com,903286430
43,"dD15`<,Db|x",Hamlin,Thayne,Dunk,Snazle,12/09/2001,tsnazle16@ox.ac.uk,978002958
44,zY67@$osj,Ches,Christine,Gainforth,De Rye Barrett,04/12/2002,cderyebarrett17@live.com,902744790
45,"hW28""M}V",Frederich,Ignace,Brumwell,Penni,07/14/2000,ipenni18@topsy.com,906347861
46,dB88$)zD<y#,Kendra,Melita,Lalevee,Hayzer,09/16/2001,mhayzer19@altervista.org,946959167
47,"yZ07)`'93>C{Z,",Charissa,Welsh,Wildman,Broughton,06/08/2003,wbroughton1a@moonfruit.com,901207713
48,"yU80#zLX,%",Broderick,Gerda,Dow,Santi,02/04/2002,gsanti1b@npr.org,994436743
49,"lZ43,0i,u~w%p",Tamiko,Virginie,Andri,Rowbottam,06/06/2002,vrowbottam1c@ucoz.com,902073574
50,"zJ78?1}u*\,U",Stephine,Alexandro,Leyrroyd,Maskew,09/14/2002,amaskew1d@bbc.co.uk,999150756
51,lV48!E5|N3,Erma,Aurelie,Emblem,Sander,06/04/2003,asander1e@engadget.com,926180021
52,aG56=+5R*z,Raul,Christos,Twoohy,Lunny,05/24/2003,clunny1f@examiner.com,940133096
53,"bH22,D'$",Claire,Manolo,Wichard,Strathman,04/04/2003,mstrathman1g@ox.ac.uk,955486345
54,"oF65,b/7",Gun,Germaine,Goodbarne,Forsard,09/03/2000,gforsard1h@guardian.co.uk,950371268
55,fC55.V|,Catharine,Emili,Brennon,Dibben,10/14/2001,edibben1i@naver.com,913990828
56,pE77=Nl1S},Fae,Jobyna,Brim,Gilroy,02/23/2001,jgilroy1j@elpais.com,913283729
57,cW09%zHs@Kri',Romy,Aarika,Kynson,Whellams,03/17/2003,awhellams1k@mapquest.com,946657936
58,zR46*hd%,Charmane,Ingunna,Rameaux,Bortol,03/13/2003,ibortol1l@businessinsider.com,960335189
59,sA50+JtygN}E,Stefano,Nadeen,Stroyan,Alves,09/15/2001,nalves1m@apple.com,908519113
60,"pV50""bX",Carter,Leonardo,Jeger,Gregolotti,10/21/2001,lgregolotti1n@mit.edu,994010934
61,pO77)JC*6dY,Minerva,Carolin,Mulhall,Sands,10/31/2001,csands1o@bbb.org,910703335
62,"qL80,\OJ*",Stace,Tabby,Erickssen,Lerer,10/22/2001,tlerer1p@wikia.com,907085296
63,lU34~Ga,Lurlene,Colleen,Donn,McGannon,04/09/2003,cmcgannon1q@washingtonpost.com,989734076
64,hG94.TS3,Scarlet,Matthieu,Nardrup,Arangy,09/11/2000,marangy1r@un.org,922913304
65,rC77<QDk%t%b8,Ahmed,Nickolaus,Sambath,Erley,11/19/2001,nerley1s@phpbb.com,939316019
66,iA55+80z7!i&I{,Milena,Peg,Padbery,Rampage,06/19/2001,prampage1t@seattletimes.com,945396267
67,gN26%*p)m3|,Reynolds,Alfonso,Oswell,Hughman,03/30/2001,ahughman1u@engadget.com,968616059
68,"fL37,XBKjE|&%Y",Patty,Judy,Tinsley,Cotsford,07/03/2001,jcotsford1v@feedburner.com,926807853
69,oO10#6V|uD1&,Essa,Otto,Abreheart,Disman,04/04/2003,odisman1w@plala.or.jp,979968712
70,fB79&hg,Devina,Barn,Roycroft,Ambrogio,04/01/2003,bambrogio1x@prweb.com,961790922
71,gP99/YJL!$\/|9,Vivian,Tine,Joynes,Esson,11/24/2001,tesson1y@163.com,921413525
72,aF47&$FrXZ,Riccardo,Jaymee,Reuven,Jancar,11/21/2002,jjancar1z@de.vu,969337630
73,gM14/$%aP,Malchy,Fraser,Vaud,Lampert,03/31/2002,flampert20@friendfeed.com,953790835
74,"uB62,1#Oy(",Joanna,Barbabra,Merrgan,Eagland,12/30/2001,beagland21@cocolog-nifty.com,916038571
75,jY91&ZMn)2,Aldus,Skye,Lartice,Huggill,05/21/2001,shuggill22@photobucket.com,993773727
76,jP46&kus,Brodie,Dedra,Chessun,Gratrex,10/24/2000,dgratrex23@liveinternet.ru,912604094
77,lQ37|SxyWu,Tasia,Pepito,Carvilla,Feary,08/10/2002,pfeary24@posterous.com,913323044
78,jW00`CnDl,Edna,Evelyn,Hillitt,Crichten,05/29/2003,ecrichten25@list-manage.com,944333344
79,"kC56!`5,N`h{)y",Jonie,Inigo,Brounsell,Marflitt,07/14/2000,imarflitt26@google.de,910010630
80,"yO32#2""6i~""o",Harlin,Drona,Romaynes,Bannell,05/21/2001,dbannell27@flickr.com,969620635
81,rL36.*S&,Florentia,Enos,Mozzini,Caplis,11/16/2002,ecaplis28@mashable.com,993125523
82,"dR61?Ou,DRRh",Gerald,Barrie,Hinder,Oldcote,11/18/2002,boldcote29@squidoo.com,934918966
83,tG34{RcQYuNpD,Lebbie,Abigale,Chubb,Capper,01/12/2002,acapper2a@issuu.com,939468771
84,vT12_d@*T2&O8,Edik,Conan,Pulhoster,Lourens,05/27/2001,clourens2b@nih.gov,900172906
85,lP80=$3>`9Xya',Kermit,Simmonds,Wadham,Cackett,12/10/2002,scackett2c@smugmug.com,976071715
86,zL17%q0rMR)oJ,Cindra,Charin,Twinborough,Liffey,04/15/2003,cliffey2d@cbsnews.com,970827360
87,aC57!fJBZ=0,Pryce,Farrel,Sturte,O'Grada,02/21/2003,fograda2e@wisc.edu,931087806
88,mU60_wlp!,Daffy,Bobina,Guynemer,Jiras,04/25/2003,bjiras2f@google.pl,967019507
89,wX54*tKaI_6,Archibold,Jennie,Littell,Learoyd,11/19/2000,jlearoyd2g@paginegialle.it,990868309
90,aZ82|EFH(>R,Sofia,Rhianon,Klesel,Rickardsson,08/28/2002,rrickardsson2h@ovh.net,946841409
91,"jV10}99mH*3(,,",Benedikt,Stephanus,Rutledge,Son,10/05/2001,sson2i@shutterfly.com,935569046
92,fU71.eljNG,Freddie,Abra,Ballendine,Codman,05/09/2001,acodman2j@booking.com,925510621
93,yI24`ncGk*|D,Marthe,Courtnay,Westmacott,Shinfield,09/11/2001,cshinfield2k@usnews.com,985320588
94,"zB65'l""C$ff",Tore,Enos,Kyd,Iacovucci,08/25/2001,eiacovucci2l@ca.gov,919407725
95,fM70_oJ0Q{U*7,Abagail,Allister,Matula,Peaurt,06/26/2003,apeaurt2m@xrea.com,919607413
96,pL57}$.Fw,Hershel,Arne,Prydie,Castro,06/30/2003,acastro2n@microsoft.com,927939704
97,dP96}+Yj5QT,Othelia,Reagan,Ianizzi,Facer,02/19/2002,rfacer2o@arizona.edu,914658185
98,sN75*a?@U,Minette,Preston,Scarborough,Rigg,04/25/2001,prigg2p@friendfeed.com,979612418
99,oU56}b%g>Hk(r,Dinnie,Alair,Farress,Roy,04/27/2002,aroy2q@utexas.edu,940232738
100,hS05<)9WU`j{4e,Loydie,Vince,Cottee,Morford,04/23/2003,vmorford2r@naver.com,971246216
